profile_id,mechanism,first_best_welfare,welfare,regret,budget_imbalance
26,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
27,equal_split_first_best,15.0,15.0,0.0,0.0
27,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
27,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
27,lp_demand_vickrey,15.0,15.0,0.0,0.0
27,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
28,equal_split_first_best,15.0,15.0,0.0,0.0
28,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
28,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
28,lp_demand_vickrey,15.0,15.0,0.0,0.0
28,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
29,equal_split_first_best,15.0,15.0,0.0,0.0
29,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
29,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
29,lp_demand_vickrey,15.0,15.0,0.0,0.0
29,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
30,equal_split_first_best,30.0,30.0,0.0,0.0
30,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
30,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
30,lp_demand_vickrey,30.0,30.0,0.0,0.0
30,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
31,equal_split_first_best,30.0,30.0,0.0,0.0
31,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
31,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
31,lp_demand_vickrey,30.0,30.0,0.0,0.0
31,lp_integrated_supply_demand,30.0,30.0,0.0,7.754818242684634e-26
32,equal_split_first_best,30.0,30.0,0.0,0.0
32,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
32,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
32,lp_demand_vickrey,30.0,30.0,0.0,0.0
32,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
33,equal_split_first_best,45.0,45.0,0.0,0.0
33,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
33,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
33,lp_demand_vickrey,45.0,45.0,0.0,0.0
33,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
34,equal_split_first_best,45.0,45.0,0.0,0.0
34,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
34,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
34,lp_demand_vickrey,45.0,45.0,0.0,0.0
34,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
35,equal_split_first_best,45.0,45.0,0.0,0.0
35,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
35,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
35,lp_demand_vickrey,45.0,45.0,0.0,0.0
35,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
36,equal_split_first_best,15.0,15.0,0.0,0.0
36,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
36,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
36,lp_demand_vickrey,15.0,15.0,0.0,0.0
36,lp_integrated_supply_demand,15.0,15.000000000000002,-1.7763568394002505e-15,0.0
37,equal_split_first_best,15.0,15.0,0.0,0.0
37,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
37,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
37,lp_demand_vickrey,15.0,15.0,0.0,0.0
37,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
38,equal_split_first_best,15.0,15.0,0.0,0.0
38,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
38,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
38,lp_demand_vickrey,15.0,15.0,0.0,0.0
38,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
39,equal_split_first_best,30.0,30.0,0.0,0.0
39,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
39,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
39,lp_demand_vickrey,30.0,30.0,0.0,0.0
39,lp_integrated_supply_demand,30.0,30.0,0.0,7.754818242684634e-26
40,equal_split_first_best,30.0,30.0,0.0,0.0
40,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
40,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
40,lp_demand_vickrey,30.0,30.0,0.0,0.0
40,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
41,equal_split_first_best,30.0,30.0,0.0,0.0
41,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
41,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
41,lp_demand_vickrey,30.0,30.0,0.0,0.0
41,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
42,equal_split_first_best,45.0,45.0,0.0,0.0
42,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
42,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
42,lp_demand_vickrey,45.0,45.0,0.0,0.0
42,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
43,equal_split_first_best,45.0,45.0,0.0,0.0
43,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
43,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
43,lp_demand_vickrey,45.0,45.0,0.0,0.0
43,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
44,equal_split_first_best,45.0,45.0,0.0,0.0
44,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
44,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
44,lp_demand_vickrey,45.0,45.0,0.0,0.0
44,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
45,equal_split_first_best,15.0,15.0,0.0,0.0
45,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
45,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
45,lp_demand_vickrey,15.0,15.0,0.0,0.0
45,lp_integrated_supply_demand,15.0,15.000000000000002,-1.7763568394002505e-15,0.0
46,equal_split_first_best,15.0,15.0,0.0,0.0
46,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
46,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
46,lp_demand_vickrey,15.0,15.0,0.0,0.0
46,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
47,equal_split_first_best,15.0,15.0,0.0,0.0
47,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
47,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
47,lp_demand_vickrey,15.0,15.0,0.0,0.0
47,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
48,equal_split_first_best,30.0,30.0,0.0,0.0
48,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
48,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
48,lp_demand_vickrey,30.0,30.0,0.0,0.0
48,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
49,equal_split_first_best,30.0,30.0,0.0,0.0
49,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
49,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
49,lp_demand_vickrey,30.0,30.0,0.0,0.0
49,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
50,equal_split_first_best,30.0,30.0,0.0,0.0
50,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
50,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
50,lp_demand_vickrey,30.0,30.0,0.0,0.0
50,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
51,equal_split_first_best,45.0,45.0,0.0,0.0
51,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
51,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
51,lp_demand_vickrey,45.0,45.0,0.0,0.0
51,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
52,equal_split_first_best,45.0,45.0,0.0,0.0
52,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
52,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
52,lp_demand_vickrey,45.0,45.0,0.0,0.0
52,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
53,equal_split_first_best,45.0,45.0,0.0,0.0
53,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
53,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
53,lp_demand_vickrey,45.0,45.0,0.0,0.0
53,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
54,equal_split_first_best,30.0,30.0,0.0,0.0
54,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
54,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
54,lp_demand_vickrey,30.0,30.0,0.0,0.0
54,lp_integrated_supply_demand,30.0,30.0,0.0,-3.4412005951913065e-25
55,equal_split_first_best,30.0,30.0,0.0,0.0
55,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
55,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
55,lp_demand_vickrey,30.0,30.0,0.0,0.0
55,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
56,equal_split_first_best,30.0,30.0,0.0,0.0
56,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
56,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
56,lp_demand_vickrey,30.0,30.0,0.0,0.0
56,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
57,equal_split_first_best,45.0,45.0,0.0,0.0
57,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
57,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
57,lp_demand_vickrey,45.0,45.0,0.0,0.0
57,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
58,equal_split_first_best,45.0,45.0,0.0,0.0
58,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
58,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
58,lp_demand_vickrey,45.0,45.0,0.0,0.0
58,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
59,equal_split_first_best,45.0,45.0,0.0,0.0
59,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
59,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
59,lp_demand_vickrey,45.0,45.0,0.0,0.0
59,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
60,equal_split_first_best,60.0,60.0,0.0,0.0
60,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
60,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
60,lp_demand_vickrey,60.0,60.0,0.0,0.0
60,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
61,equal_split_first_best,60.0,60.0,0.0,0.0
61,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
61,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
61,lp_demand_vickrey,60.0,60.0,0.0,0.0
61,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
62,equal_split_first_best,60.0,60.0,0.0,0.0
62,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
62,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
62,lp_demand_vickrey,60.0,60.0,0.0,0.0
62,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
63,equal_split_first_best,30.0,30.0,0.0,0.0
63,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
63,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
63,lp_demand_vickrey,30.0,30.0,0.0,0.0
63,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
64,equal_split_first_best,30.0,30.0,0.0,0.0
64,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
64,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
64,lp_demand_vickrey,30.0,30.0,0.0,0.0
64,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
65,equal_split_first_best,30.0,30.0,0.0,0.0
65,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
65,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
65,lp_demand_vickrey,30.0,30.0,0.0,0.0
65,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
66,equal_split_first_best,45.0,45.0,0.0,0.0
66,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
66,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
66,lp_demand_vickrey,45.0,45.0,0.0,0.0
66,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
67,equal_split_first_best,45.0,45.0,0.0,0.0
67,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
67,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
67,lp_demand_vickrey,45.0,45.0,0.0,0.0
67,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
68,equal_split_first_best,45.0,45.0,0.0,0.0
68,equal_split_vickrey_majority,45.0,45.0,0.0,0.0
68,equal_split_vickrey_faltings_fair,45.0,45.0,0.0,0.0
68,lp_demand_vickrey,45.0,45.0,0.0,0.0
68,lp_integrated_supply_demand,45.0,45.0,0.0,0.0
69,equal_split_first_best,60.0,60.0,0.0,0.0
69,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
69,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
69,lp_demand_vickrey,60.0,60.0,0.0,0.0
69,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
70,equal_split_first_best,60.0,60.0,0.0,0.0
70,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
70,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
70,lp_demand_vickrey,60.0,60.0,0.0,0.0
70,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
71,equal_split_first_best,60.0,60.0,0.0,0.0
71,equal_split_vickrey_majority,60.0,60.0,0.0,0.0
71,equal_split_vickrey_faltings_fair,60.0,60.0,0.0,0.0
71,lp_demand_vickrey,60.0,60.0,0.0,0.0
71,lp_integrated_supply_demand,60.0,60.0,0.0,0.0
72,equal_split_first_best,30.0,30.0,0.0,0.0
72,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
72,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
72,lp_demand_vickrey,30.0,30.0,0.0,0.0
72,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
73,equal_split_first_best,30.0,30.0,0.0,0.0
73,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
73,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
73,lp_demand_vickrey,30.0,30.0,0.0,0.0
73,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
74,equal_split_first_best,30.0,30.0,0.0,0.0
74,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
74,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
74,lp_demand_vickrey,30.0,30.0,0.0,0.0
