profile_id,mechanism,first_best_welfare,reported_first_best_welfare,welfare,regret,rounding_regret,budget_imbalance
18,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
18,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
18,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
18,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
18,lp_integrated_supply_demand,0.0,0.0,-0.7444546867008313,0.7444546867008313,0.0,0.0
19,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
19,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
19,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
19,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
19,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
19,lp_integrated_supply_demand,0.0,0.0,-0.531311586587062,0.531311586587062,0.0,0.0
20,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
20,equal_split_vickrey_majority,15.0,15.0,15.0,0.0,0.0,0.0
20,equal_split_vickrey_faltings_fair,15.0,15.0,15.0,0.0,0.0,0.0
20,lp_demand_vickrey_coarse,15.0,15.0,15.0,0.0,0.0,0.0
20,lp_demand_vickrey_fine,15.0,15.0,15.0,0.0,0.0,0.0
20,lp_integrated_supply_demand,15.0,15.0,15.0,0.0,0.0,0.0
21,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
21,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
21,equal_split_vickrey_faltings_fair,15.0,15.0,10.0,5.0,0.0,-2.220446049250313e-16
21,lp_demand_vickrey_coarse,15.0,15.0,14.9999985,1.4999999997655777e-06,0.0,0.0
21,lp_demand_vickrey_fine,15.0,15.0,14.999750066666003,0.0002499333339969212,0.0,0.0
21,lp_integrated_supply_demand,15.0,15.0,14.694223519327348,0.30577648067265173,0.0,0.0
22,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
22,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
22,equal_split_vickrey_faltings_fair,15.0,15.0,10.0,5.0,0.0,-2.220446049250313e-16
22,lp_demand_vickrey_coarse,15.0,15.0,14.9999985,1.4999999997655777e-06,0.0,0.0
22,lp_demand_vickrey_fine,15.0,15.0,14.999750066666003,0.0002499333339969212,0.0,0.0
22,lp_integrated_supply_demand,15.0,15.0,14.638540273061178,0.361459726938822,0.0,-4.440892098500626e-16
23,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
23,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
23,equal_split_vickrey_faltings_fair,15.0,15.0,10.0,5.0,0.0,-2.220446049250313e-16
23,lp_demand_vickrey_coarse,15.0,15.0,14.9999985,1.4999999997655777e-06,0.0,0.0
23,lp_demand_vickrey_fine,15.0,15.0,14.999750066666003,0.0002499333339969212,0.0,0.0
23,lp_integrated_supply_demand,15.0,15.0,12.931835880744146,2.0681641192558544,0.0,0.0
24,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
24,equal_split_vickrey_majority,30.0,30.0,30.0,0.0,0.0,0.0
24,equal_split_vickrey_faltings_fair,30.0,30.0,30.0,0.0,0.0,0.0
24,lp_demand_vickrey_coarse,30.0,30.0,30.0,0.0,0.0,0.0
24,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,0.0
24,lp_integrated_supply_demand,30.0,30.0,30.0,0.0,0.0,6.626431603856499e-27
25,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
25,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
25,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-2.220446049250313e-16
25,lp_demand_vickrey_coarse,30.0,30.0,29.9999985,1.4999999997655777e-06,0.0,0.0
25,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,-1.7763568394002505e-15
25,lp_integrated_supply_demand,30.0,30.0,29.3533214768601,0.6466785231399008,0.0,0.0
26,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
26,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
26,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-2.220446049250313e-16
26,lp_demand_vickrey_coarse,30.0,30.0,29.9999985,1.4999999997655777e-06,0.0,0.0
26,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,-1.7763568394002505e-15
26,lp_integrated_supply_demand,30.0,30.0,28.969490130410378,1.030509869589622,0.0,0.0
27,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
27,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
27,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-2.220446049250313e-16
27,lp_demand_vickrey_coarse,30.0,30.0,29.9999985,1.4999999997655777e-06,0.0,0.0
27,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,-1.7763568394002505e-15
27,lp_integrated_supply_demand,30.0,30.0,27.649860305038725,2.3501396949612747,0.0,4.440892098500626e-15
28,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
28,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
28,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
28,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
28,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
28,lp_integrated_supply_demand,45.0,45.0,45.0,0.0,0.0,-3.963237187830363e-27
29,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
29,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
29,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-2.220446049250313e-16
29,lp_demand_vickrey_coarse,45.0,45.0,44.9999985,1.5000000033182914e-06,0.0,8.881784197001252e-16
29,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
29,lp_integrated_supply_demand,45.0,45.0,44.545052529700236,0.45494747029976423,0.0,4.440892098500626e-16
30,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
30,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
30,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-2.220446049250313e-16
30,lp_demand_vickrey_coarse,45.0,45.0,44.9999985,1.5000000033182914e-06,0.0,8.881784197001252e-16
30,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
30,lp_integrated_supply_demand,45.0,45.0,44.6648374511831,0.33516254881690344,0.0,0.0
31,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
31,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
31,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-2.220446049250313e-16
31,lp_demand_vickrey_coarse,45.0,45.0,44.9999985,1.5000000033182914e-06,0.0,8.881784197001252e-16
31,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
31,lp_integrated_supply_demand,45.0,45.0,42.649860305038374,2.3501396949616264,0.0,7.105427357601002e-15
32,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
32,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
32,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
32,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
